 npm,30095,,,
 echo,29737,,,
 yarn,26500,,,
 mkdir,16514,,,
 git,13550,,,
 then,13035,,,
 cd,11813,,,
 docker,11505,,,
 curl,10487,,,
 make,9988,,,
 pip,9155,,,
 bundle,8413,,,
 mvn,8358,,,
 bash,7579,,,
 chmod,6918,,,
 cp,6311,,,
python3,6309,,,
 go,6042,,,
 ./gradlew,5933,,,
 export,4907,,,
 python,4810,,,
 exit,4501,,,
 composer,4447,,,
 wget,4446,,,
 rm,4227,,,
 sleep,4221,,,
 else,4003,,,
 source,3901,,,
 mv,3495,,,
 ls,3323,,,
 apt-get,3221,,,
 set,3137,,,
 cat,2942,,,
 tar,2918,,,
 npx,2697,,,
 gradle,2428,,,
 find,2409,,,
 node,2407,,,
 aws,2405,,,
 dockerize,2341,,,
 apk,2327,,,
 gem,2103,,,
 done,1996,,,
 pytest,1949,,,
 docker-compose,1933,,,
 php,1688,,,
 pushd,1602,,,
 popd,1576,,,
 ./mvnw,1576,,,
 touch,1532,,,
 ssh,1467,,,
 ./cc-test-reporter,1365,,,
 gcloud,1364,,,
 oc,1326,,,
 sed,1206,,,
flake8,1180,,,
 pwd,1172,,,
 pod,1160,,,
 ./vendor/bin/phpunit,1159,,,
 pipenv,1126,,,
 mix,1094,,,
 swift,1055,,,
 ssh-keyscan,1003,,,
 ghr,951,,,
 unzip,922,,,
 cargo,880,,,
 dotnet,854,,,
 codecov,825,,,
 date,805,,,
 lein,802,,,
pip3,775,,,
 zip,774,,,
 apt,734,,,
 tox,733,,,
 kubectl,705,,,
 brew,678,,,
 virtualenv,671,,,
 cmake,651,,,
 ./node_modules/.bin/firebase,649,,,
 coverage,617,,,
 heroku,602,,,
 rsync,599,,,
 elif,590,,,
 terraform,583,,,
 vendor/bin/phpunit,576,,,
 twine,566,,,
 openssl,565,,,
 rustup,560,,,
 ./node_modules/.bin/codecov,536,,,
 scp,521,,,
 eval,475,,,
 mysql,471,,,
 dep,464,,,
 npm,453,,,
 nvm,449,,,
 java,438,,,
 bin/rails,431,,,
 printf,430,,,
 conda,427,,,
 env,423,,,
 ln,421,,,
 test,414,,,
 terminus,398,,,
 stack,370,,,
 nc,370,,,
 fastlane,363,,,
 rustc,350,,,
 cf,348,,,
 sbt,335,,,
 ./node_modules/.bin/nyc,334,,,
 ./tests/scripts/run-behat,324,,,
 gsutil,323,,,
 grep,303,,,
 service,298,,,
 ./vendor/bin/codecept,293,,,
 black,288,,,
make,287,,,
 while,285,,,
 ruby,285,,,
 yes,278,,,
 EOF,278,,,
 meteor,275,,,
 which,271,,,
 trap,271,,,
 nosetests,263,,,
 sdkmanager,259,,,
 Apollo,259,,,
 helm,253,,,
 eb,252,,,
 node_modules/sfdx-cli/bin/run,251,,,
 pylint,250,,,
 poetry,250,,,
 xvfb-run,249,,,
 pyenv,247,,,
 golint,234,,,
 pre-commit,224,,,
 hugo,224,,,
 phpunit,219,,,
 golangci-lint,212,,,
 sls,203,,,
 ansible-playbook,203,,,
 default,201,,,
 gh-pages,196,,,
 ./.ci/deploy/pantheon/dev-multidev,196,,,
 ./.ci/build/php,196,,,
 psql,194,,,
 adb,186,,,
 xcodebuild,181,,,
 envsubst,181,,,
 gcc,178,,,
 coveralls,178,,,
 ~/.local/bin/tox,176,,,
 rake,174,,,
 goveralls,174,,,
