App-name,Number
npm,30708
yarn,26985
git,13782
cd,12042
docker,11605
curl,10702
make,10363
pip,9343
bundle,8581
mvn,8404
bash,7714
python3,6329
go,6166
gradlew,5984
export,4936
python,4887
wget,4491
composer,4477
source,3919
apt-get,3392
tar,2930
npx,2762
node,2520
gradle,2433
do,2130
phpunit,2126
gem,2119
docker-compose,1949
php,1903
pushd,1603
mvnw,1595
popd,1576
ssh,1477
codecov,1473
gcloud,1431
oc,1326
flake8,1215
pipenv,1147
ghr,1144
mix,1096
ssh-keyscan,1004
tox,920
cargo,905
dotnet,863
lein,816
pip3,800
set-environment,764
apt,756
cmake,751
brew,690
virtualenv,676
coverage,671
command,635
terraform,612
rsync,607
heroku,606
openssl,592
twine,583
rustup,570
nyc,549
rails,538
dep,515
mysql,478
eval,478
nvm,453
conda,451
java,441
terminus,399
sbt,397
stack,391
codecept,371
nc,370
fastlane,366
gsutil,363
rustc,362
cf,351
phpcs,333
black,303
service,298
ruby,298
meteor,290
build,277
trap,271
golangci-lint,264
pylint,263
sdkmanager,262
helm,259
eb,259
Apollo,259
poetry,256
xvfb-run,250
pyenv,248
install,248
hugo,244
golint,241
pre-commit,240
flyway,240
goveralls,234
gh-pages,222
rake,221
semantic-release,219
gulp,213
sls,208
ansible-playbook,204
default,201
psql,197
dev-multidev,196
coveralls,192
eslint,191
adb,186
circle-android,186
xcodebuild,182
gcc,182
envsubst,182
shellcheck,163
clu,159
dependencies,157
tflint,157
bazel,156
flutter,153
isort,147
dpkg,145
packer,144
ng,141
deployment,141
emulator64-arm,135
jest,133
gox,133
uname,131
gpg,129
build_marlin_pio,126
sfdx,123
install-chrome,122
mypy,121
chown,121
serverless,121
env_backup,121
env_restore,121
generate_version,121
clojure,121
deploy,118
htmlproofer,115
jq,114
xcrun,113
ninja,113
publish,112
md5sum,110
phpstan,108
mkdocs,105
codespell,101
docker-php-ext-install,101
fwup,98
google-chrome,95
Xvfb,95
rubocop,94
architect,94
yamllint,94
dnf,92
gometalinter,89
sha256sum,89
rspec,89
glide,86
install_dependencies,85
pacman,85
pm2,84
emulator,83
sonar-scanner,82
Rscript,82
mocha,82
bower,81
install_run,79
bats,79
molecule,79
printenv,78
ssh-add,75
behat-cleanup,74
lint,73
grunt,73
ant,73
pycodestyle,72
sshpass,72
unset,72
timeout,72
rustfmt,72
lerna,72
libpango-1.0-0,70
whoami,69
nix-shell,69
ct,69
backup_ramps,68
promu,68
ansible-lint,67
setup,66
xml2rfc,66
mmark,66
android-22,66
android,66
add-apt-repository,66
console,65
opam,65
drush,65
ginkgo,64
behat,64
phpdbg,64
libexpat1,64
hadolint,63
choco,63
nix-build,62
android-21,62
function,61
truffle,61
ionic,60
install_deploysuite,59
bandit,59
sphinx-build,59
cypress,59
nuget,59
apt-install,58
defaults_Dependencies,58
dotnet.exe,57
python3.4,56
time,55
goreleaser,55
gatsby,55
crystal,54
deactivate,53
build_jekyll,53
base64,52
tsc,52
nohup,52
markdownlint,51
install_dependency,51
fonts-liberation,51
deb,51
package_docs,50
python3.6,50
gconf-service,50
shards,50
make',50
carthage,49
nvcc,49
ember,49
rvm,48
shopt,48
ansible-galaxy,48
mongo,48
hexo,48
mdl,47
cibuild,47
libxdamage1,47
chromedriver,47
surge,47
make.bash,46
tree,46
webpack,46
nix-env,46
google_apis,45
xargs,45
ccache,45
perl,44
govendor,44
ulimit,44
phpmd,43
build-essential,43
jsdoc,43
python-codacy-coverage,43
jekyll,43
yq,43
su,43
metamaskbot-build-announce.js,43
return,42
bootstrap,42
apt-key,42
createdb,42
reaction,41
awesome_bot,41
pyinstaller,41
boot,41
trivy,40
ssh-keygen,40
install-android-packages,40
install-ndk,40
ci-build,40
msbuild,40
install-buck,39
run-lint-checks,39
buck,39
python3.7,39
release_publisher,38
cabal,38
create-ndk-directory,38
goverage,38
anaconda,37
main,37
ga,37
install-android-build-dependencies,37
compile-native-libs,37
build-android-app,37
wait-for-avd,37
latexmk,37
lftp,37
jfrog,37
rosdep,37
alias,37
liche,36
robo,36
create-avd,36
launch-avd,36
build-js-bundle,36
javac,36
snyk,36
ci,35
run_build,35
nox,35
pub,35
detox,34
run-sanity-checks,34
chromedriver-linux,34
jupyter,34
ansible,34
df,34
doxygen,34
sentry-cli,34
invoke,33
nodejs,33
kind,33
staticcheck,32
xvfb_start,32
ENDSSH,32
rebar3,32
inv,32
snapcraft,32
inspec,32
android-16,32
ghp-import,31
login,31
android-24,31
setup_environment,31
cmake3,31
id,31
curl-dev,31
Write-Host,30
percy,30
kill,30
prospector,30
